rank,xHandle,displayName,tier,compositeScore,dim_performance,dim_market,dim_engagement,dim_reach,totalXeetsExclXeetsgiving,competitiveTournamentCount,avgDifficultyAdjustedPercentile,signalRatioAvg,multiplierBreadth,cryptoCreatorRank,cryptoCreatorXeets,osFloorCommon,osFloorRare,ethSaleVolume,highestSaleCommon,highestSaleRare,priceTrajectory,rarityPremiumRatio,saleVelocity30d,ownCardsHeld,deckReachScore,followers,nicheDiversity,bestRank,totalSupply,uniqueCollectors,collectorDensity
26,Xeer,Xeer,Mythic,75.33187548145823,73.62537855844943,81.95995738411112,74.32408289385033,70.17945422187069,9249.175916000002,4,0.9465272415015799,0.8059755457956053,0,21.0,7619.101558,0.019,0.065,0.6877999999800001,0.01889999999,0.045,-0.017275113893409796,3.421052631578948,17,1,95.1,62037.0,3,4.0,96,80,0.8333
27,R2D2zen,R2D2,Mythic,75.22871297361638,70.51938219261054,84.70276156793481,83.35614385614386,61.16027288906466,4658.106921,6,0.902174255956119,0.7079847008105699,1,529.0,1999.468014,0.006,0.1,0.24177,0.007,0.027,0.0024119737046316,16.666666666666668,13,2,98.2,14063.0,4,7.0,93,83,0.8925
28,FFVV1211,FFV,Mythic,75.200581513909,80.67479305471431,69.4101346514515,63.42790349185698,85.9503328719267,7461.451865999999,5,0.984639341807814,0.8819187952121486,0,59.0,5832.770132,0.00399,nan,0.10758999999999999,0.005,0.018,0.0009428664134340493,nan,9,1,74.4,70731.0,5,16.0,86,80,0.9302
29,Tma_420,T.M.A,Mythic,75.1033219783621,84.34231778719968,73.44916674605336,71.62089654531515,57.86615911937248,10636.278895000001,6,0.9838416257656261,0.9056550220900252,0,43.0,6318.626589,0.0074,nan,0.29929899,0.01,0.035,-0.008206764552637427,nan,11,1,91.8,48895.0,2,1.0,76,70,0.9211
30,HarrietPJones,🜲 Harriet,Mythic,74.8109648892065,76.28311124570966,80.11420763679249,87.14016216341797,45.60757366027289,12746.335169999998,8,0.911265440701073,0.5447895913007667,1,340.0,2194.982189,0.0169,0.028,0.22929999999999998,0.015,0.0299,-0.006622953016010036,1.656804733727811,16,11,94.9,6814.0,4,1.0,82,72,0.878
31,oxtochi,tochi,Mythic,73.94098812230649,76.57566121542499,69.99106634046692,69.3128325163209,79.66927031837056,8734.066121000002,8,0.9338411379777454,0.7211951662136665,0,77.0,5478.801338,0.0033,0.023,0.12140000000000004,0.005,0.023,-0.00040930619054352027,6.96969696969697,14,1,87.7,71394.0,4,1.0,88,75,0.8523
32,zaddyfi,Zaddy,Mythic,73.88488455265477,84.10685443165757,58.839373020881865,70.13962200590107,76.69583415727375,6592.2744619999985,8,0.9657081656152806,0.6808674228087572,2,469.0,2045.110814,0.004,0.027,0.1375,0.007,0.029,-0.006486693854305671,6.75,7,1,97.2,24983.0,5,6.0,95,90,0.9474
33,swankyjohnx,Swanky,Mythic,73.84121274609916,76.21168988491823,82.43362728331911,56.37882466370839,76.48243359040275,5524.978795000001,21,0.89615735845993,0.5495739250773024,5,9289.0,552.698968,0.011,0.022,0.13995000000000002,0.009,0.02,0.00716895474307567,2.0,8,1,98.5,14759.0,7,8.0,81,77,0.9506
34,mariannehere,Marianne,Mythic,73.73189416665852,88.18241469816272,57.98073909869487,77.28670747856793,56.70934678004087,10217.690975,6,0.9917261668958535,0.8239006608996823,1,158.0,3285.172675,nan,0.0149499,0.32146,0.011,0.033,0.0005586248891860891,nan,7,1,98.7,42517.0,2,2.0,85,74,0.8706
35,walsxbt,Wals,Mythic,73.52765564682754,69.70845951948314,72.31916823812952,75.77832632483795,82.7254300968954,10510.243000000002,13,0.8675827294075407,0.5888926036118438,0,176.0,2985.522687,0.0244,0.2,0.73479,0.018,0.1,-0.035729366970190406,8.19672131147541,7,1,98.2,30025.0,6,1.0,78,66,0.8462
36,MadMaxx_eth,"MadMaxx (∎, ∆)",Mythic,72.81777825465102,76.93433272763981,56.88959759554286,85.5474467393072,71.41437611231956,6211.078045999998,9,0.9212295693182304,0.5323290916925701,4,909.0,1681.637971,0.003,0.007,0.09286,0.0096,0.0084,-0.0029559527830573646,2.3333333333333335,8,7,98.0,13559.0,6,10.0,87,76,0.8736
37,tdkimber,💎tdk💎,Mythic,72.68853069033831,79.23334342822531,60.58945310595825,89.8493192853658,52.519774569903106,5278.356318000001,11,0.9151760832484687,0.7774027931694637,1,492.0,2024.155764,0.00699,0.029,0.14419300000000002,0.003,0.01,-0.0017307961050407408,4.148783977110158,7,6,98.7,5255.0,6,1.0,83,69,0.8313
38,Carlitoswa_y,Carlitosway,Mythic,72.62019520599951,69.58812840702605,67.10594736660217,92.32414678344912,63.6241842989915,3683.9719950000003,6,0.9094868307945493,0.7154035839897676,1,257.0,2461.256136,0.005,0.022,0.32539,0.01,0.022,-0.001988744478059226,4.3999999999999995,7,5,99.0,31206.0,3,56.0,82,76,0.9268
39,shivst3r,Shiv,Mythic,72.3324043685694,71.93337371290127,68.42747401956932,69.24419766280232,84.022312306374,11707.695404999997,7,0.9052842260887699,0.6581062307463679,0,75.0,5529.480653,0.00599,0.022,0.133,0.006,0.019,-0.004854933239137335,3.672787979966611,12,1,87.5,51585.0,5,5.0,96,85,0.8854
40,icobeast,IcoBeast.eth🦇🔊,Legendary,71.7051836348606,74.6715122148193,70.88739987486262,61.303696303696306,79.02659679651967,10629.545276,7,0.9129971470767971,0.7606422553827886,0,13.0,8547.887547,0.0199,0.085,2.14892999998998,0.06,0.2,-0.024656289459854524,4.2713567839195985,5,1,65.2,68934.0,4,12.0,74,60,0.8108
41,jgonzalezferrer,Javi🥥.eth,Legendary,71.5343438850554,63.43423177871996,58.95930054699111,93.0269846432637,85.43619405444599,4213.401935000001,5,0.8957431581248313,0.7272367231152412,0,185.0,2867.82134,0.0049,1.0,0.082099,0.0069,0.012,-0.0014236635203470494,204.08163265306123,7,7,98.2,63195.0,5,30.0,89,75,0.8427
42,ripchillpill,Chill Pill 🔮 (Bald),Legendary,71.50891666123704,64.55067635776297,79.37212758583782,68.22290500197477,81.34022147518291,3785.5953759999998,7,0.9149315330793376,0.5647950808131393,0,672.0,1862.82243,0.008,0.4,0.35380000000000006,0.015,0.04,-0.0051964160657445545,50.0,18,1,96.9,98696.0,4,52.0,96,85,0.8854
43,RajPatel,Raj,Legendary,71.05966169993675,79.73879466989703,65.9500426604835,72.42941360964618,54.60500296618548,7811.977293999999,9,0.9470944960182391,0.7652123765870955,0,222.0,2627.74558,0.0099,nan,0.06419,0.01,0.01,-0.0004909651078256538,nan,7,1,96.7,10248.0,4,6.0,85,80,0.9412
44,amit0xic,t0xic 🧪,Legendary,71.05877674571676,81.83398950131233,65.73346341513903,60.9860430267407,64.63070990705953,6050.593609000001,8,0.9482893388203586,0.7641078691347721,1,217.0,2654.633174,0.0034,nan,0.08350999999999999,0.0042,0.012,0.004598770669958793,nan,9,1,74.4,17877.0,4,26.0,78,74,0.9487
45,Deebs_DeFi,Deebs DeFi 🛰,Legendary,71.05098467174776,74.26009489198464,67.81923004447812,63.46195664800316,77.99831916155824,5046.065181000001,9,0.93614863965604,0.6867252229679716,0,967.0,1644.486621,0.008,0.048,0.12447899999999998,0.0039,0.011,-3.0222256205738096e-05,6.0,6,1,94.6,53028.0,4,11.0,86,78,0.907
46,RealDuckMaster,duckmaster.eth,Legendary,70.78575415742338,59.81056935190793,79.80397588872462,85.21202053760193,65.78752224639115,3439.867927,5,0.8836366388712248,0.7289882759375816,0,1160.0,1545.187538,0.0148,nan,0.14360000000000003,0.01,0.015,0.0006611870922624006,nan,7,5,98.7,19470.0,4,29.0,88,80,0.9091
47,Senti__23,Senti 🪄,Legendary,70.50693976123641,70.57147183525137,71.1836890815366,83.46291499198476,51.93230505569837,4566.7375090000005,6,0.9073217322900448,0.6139760107281691,2,1505.0,1418.387519,0.03,0.035,0.11810000000000001,0.005,0.009,-0.0018089549837830515,1.1666666666666667,10,4,98.7,2728.0,7,13.0,87,79,0.908
48,EricCLFung,EricF,Legendary,69.34426556679092,79.52670098929941,60.06744595409702,54.39558697116837,77.5840419220882,7153.421015999998,19,0.8792953046990517,0.7542115616099265,5,509.0,2010.614482,0.002,nan,0.17859899,0.01,0.025,-0.0005645563274972572,nan,6,1,65.7,19829.0,6,4.0,89,68,0.764
49,TheCryptoProfes,The Crypto Professor,Legendary,69.2907433798285,89.05153442358166,45.15581801496985,69.00778872290502,57.1974490804825,7410.195874,11,0.9784166248738504,0.7214230151977497,3,523.0,2003.973882,0.0075,nan,0.06476899999990998,0.0021,0.00999999999991,-0.0018918340794523785,nan,3,1,96.9,18895.0,3,1.0,84,78,0.9286
