signal,n,null_count,null_pct,mean,median,std,cv,skew,p10,p25,p50,p75,p90,p95,p99,min,max,shape
uniqueBuyers,391,0,0.0,25.831202046035806,26.0,7.626347604335226,0.295237813197532,-0.08474848820035306,18.0,21.0,26.0,30.0,34.0,37.0,44.0,0.0,61.0,moderate
highestSaleCommon,389,2,0.5115089514066496,0.005274188547506274,0.0029,0.007958402765537833,1.508934065184435,5.68534107927439,0.0015,0.0018,0.0029,0.0053,0.01,0.015,0.045920000000000016,0.0009,0.089,right-skewed (heavy tail)
highestSaleRare,370,21,5.3708439897698215,0.014294206135134541,0.0068895,0.028857623194885072,2.0188335694945856,6.652769618963003,0.0035,0.0040825,0.0068895,0.011875,0.0299,0.05,0.13100000000000023,0.0022,0.3,right-skewed (heavy tail)
priceTrajectory,387,4,1.0230179028132993,-0.0009563128942870821,-0.0005207503624873112,0.005739428560756617,6.001622058055885,-1.4813098076774207,-0.003712448564642714,-0.0015716191096328646,-0.0005207503624873112,0.0002689274917158483,0.0023946048106854223,0.00548855088150547,0.011010675156936977,-0.0402326680097945,0.03420869523748317,left-skewed
rarityPremiumRatio,310,81,20.716112531969312,14.369574047697334,5.031518189412926,39.33986306510155,2.737719499166755,10.531317924092598,1.7633228840125394,2.8392857142857144,5.031518189412926,11.5967365968246,31.568553459119528,46.24230769230775,125.34919976551012,0.3333367340394079,578.9473684210527,right-skewed (heavy tail)
saleVelocity30d,391,0,0.0,9.687979539641944,9.0,4.594850379483178,0.4742836584946998,0.9194412196908597,5.0,7.0,9.0,12.0,15.0,18.0,24.0,0.0,31.0,right-skewed
buyerConcentration,390,1,0.2557544757033248,0.777995862371316,0.7878787878787878,0.10087128627597358,0.12965529915354548,-0.3574971238004202,0.6584724005134789,0.7169811320754716,0.7878787878787878,0.8387096774193549,0.9004761904761907,0.9376344086021504,1.0,0.4411764705882353,1.0,normal-ish
collectorDensity,391,0,0.0,0.9027833759590792,0.9167,0.08171511051840544,0.09051463805654898,-7.3991768685435195,0.8542,0.8889,0.9167,0.93865,0.9556,0.9653,0.9776,0.0,0.9872,left-skewed (heavy tail)
ownCardsHeld,391,0,0.0,1.7902813299232736,1.0,2.341817762651707,1.3080724931383105,5.452965151693325,1.0,1.0,1.0,1.5,3.0,6.0,11.0,0.0,25.0,right-skewed (heavy tail)
deckReachScore,386,5,1.278772378516624,58.58523316062177,66.1,33.99137116742423,0.5802037362253194,-0.38424405899286057,7.2,27.675,66.1,90.95,97.7,98.7,99.5,0.3,99.7,moderate
followers,390,1,0.2557544757033248,26088.09487179487,12272.0,35888.6915099574,1.3756731446403334,2.915535428910861,3655.8000000000006,6988.25,12272.0,29618.75,62152.800000000025,94158.49999999983,174899.15000000026,97.0,233956.0,right-skewed (heavy tail)
ethosScore,390,1,0.2557544757033248,1469.7358974358974,1432.0,222.16516816804562,0.15115992509649875,1.2649101959266782,1234.7,1302.0,1432.0,1566.5,1783.7000000000003,1945.8499999999997,2190.9900000000002,1150.0,2278.0,right-skewed
daysSinceLastSale,390,1,0.2557544757033248,10.902564102564103,10.0,5.0814187025460384,0.46607556302750586,1.1875587374545054,5.0,8.0,10.0,13.0,18.100000000000023,21.0,27.0,4.0,33.0,right-skewed
